"Pertanyaan","Jawaban Benar","Jawaban Salah 1","Jawaban Salah 2","Jawaban Salah 3","Jawaban Salah 4"
"Database Integrity dapat dievaluasi dengan menguji berbagai jenis integrity diantaranya","Domain Integrity, Entity Integrity, Referential Integrity","Domain Integrity, Referential Integrity, Functional Integrity","Entity Integrity, Functional Integrity, Domain Integrity","Referential Integrity, Functional Integrity, Domain Integrity",""
"Berikut yang tidak termasuk karakteristik dari arsitektur data modern adalah …","stateful","Cloud-native","seamless data integration","Real-time data enablement","scalable"
"Berikut adalah tools yang digunakan dalam penyusunan arsitektur data, kecuali …","metadata tracking tools","data modelling tools","asset management softwares","graphical design applications","model repositories"
"Manakah dari berikut ini merupakan metric yang digunakan untuk mengukur performance data arsitektur?","Architecture standard compliance rate","DMMA ratings","return on investment","Subject Area Coverage Percentages","Aggregated transaction statistics"
"Manakah yang bukan merupakan domain dari data architecture?","Enterprise Inventory Architecture","Enterprise Business Architecture","Enterprise Data Architecture","Enterprise Applications Architecture","Enterprise Technology
Architecture"
"Apakah yang dimaksud dengan ‘how’ pada Zachmann Framework yang digunakan dalam merancang arsitektur data?","aktivitas yang dilakukan","entitas yang digunakan","lokasi bisnis dan teknologi","goals dan strategi","jadwal, siklus, dan interval"
"Hal-hal berikut adalah potensi resiko yang dapat terjadi dalam implementasi arsitektur data, kecuali …","lemahnya keamanan sistem","Kurangnya dukungan manajemen","culture shock","adanya dominasi (one-dimensional view)","pemimpin proyek yang kurang berpengalaman"
"Sebuah enterprise data model (EDM) akan mencakup hal-hal berikut, kecuali …","storage requirements","key enterprise data entities","relationships between entities","critical guiding business rules","critical attributes"
"Manakah yang bukan merupakan level representasi dari enterprise data model (EDM)?","conceptual attribute model","subject area model","conceptual data model","conceptual entity model","business process – entity mapping"
"Output yang dapat dihasilkan dari perancangan data model instansi level pertama adalah ...","Enterprise Subject Area Model (ESAM)","Enterprise Data Object Model (EDOM)","Enterprise Conceptual Model (ECM)","Enterprise Conceptual Entity Model (ECEM)","Enterprise Subject Area Relation Diagram (ESARD)"
"Enterprise Conceptual Entity Model (ECEM) terdiri atas komponen berikut, kecuali …","subject areas","Entity Concepts","Primary Keys and Significant Attributes","Relationships","Name and definition"
"Berikut ini yang merupakan urutan hirarki EDM yang benar adalah …","subject area model – conceptual data model – enterprise logical data model","conceptual data model – enterprise logical data model - subject area model","conceptual data model – subject area model – enterprise logical data model","subject area model – enterprise logical data model - conceptual data model","enterprise logical data model – subject area model – conceptual data model"
"Pembangungan model data instansi (enterprise data model) dapat dilakukan melalui dua pendekatan, yakni …","Top-down dan bottom-up","integrated dan distributed","centralized dan decentralized","All-at-once dan gradually","waterfall dan agile"
"Berikut ini adalah tools yang dapat digunakan untuk membuat enterprise data model (EDM), kecuali …","ER Mapper Professional","PowerDesigner","ER/Studio","Oracle SQL Developer Data Modeler","IBM - InfoSphere Data Architect"
"Manakah dari komponen berikut yang tidak tercakup di dalam EDM?","data flow","entitas","atribut","relasi antar entitas","critical business rules"
"Analisis model data instansi melibatkan serangkaian kegiatan-kegiatan berikut, kecuali ...","Identifikasi perangkat TI","Menelaah tujuan bisnis suatu organisasi","Menelaah data yang dihasilkan dan digunakan oleh organisasi","Mengidentifikasi dan menganalisis aturan-aturan pada data yang
dihasilkan dan digunakan","Mereviu model data instansi sebelumnya (jika sudah ada)
terhadap kebutuhan saat ini"
"Berikut ini yang bukan merupakan dokumen hasil analisis model data instansi adalah …","Standard Operating Procedure (SOP)","Hasil telaah tujuan bisnis suatu organisasi","Hasil telaah data yang dihasilkan dan digunakan oleh organisasi","Hasil identifikasi dan analisis aturan-aturan pada data yang
dihasilkan dan digunakan","Hasil review model data instansi sebelumnya (jika sudah ada)
terhadap kebutuhan saat ini."
"Model data instansi yang baik memiliki karakteristik berikut, kecuali …","complexity","accuracy","clarity","conciseness","consistency"
"Seorang pranata komputer yang sedang menganalisis suatu model data instansi ingin mengidentifikasi hubungan serta overlaps yang terjadi antar konsep pada subject areas. Untuk melaksanakan ini, si pranata komputer memerlukan alat bantu berupa dokumen …","enterprise conceptual model (ECM)","Enterprise Subject Area Model (ESAM)","Enterprise Data Object Model (EDOM)","Enterprise Conceptual Entity Model (ECEM)","Enterprise Subject Area Relation Diagram (ESARD)"
"Saat sedang menganalisis model data instansi, seorang pranata komputer muda menemukan diagram sebagai berikut. Diagram ini merupakan …
[link gambar: https://drive.google.com/file/d/1oqkfpDQFDYLzwUqRYrT7BMw-Q3oaAt7g/view?usp=sharing]","Enterprise Subject Area Model (ESAM)","enterprise conceptual model (ECM)","Enterprise Data Object Model (EDOM)","Enterprise Conceptual Entity Model (ECEM)","Enterprise Subject Area Relation Diagram (ESARD)"
"Salah satu kegunaan dari Enterprise Conceptual Entity Model (ECEM) adalah …","menyediakan kerangka arsitektur data untuk desain data organisasi dan penyimpanan data selanjutnya, serta mendukung kualitas, skalabilitas, dan integrasi data","menyediakan struktur untuk mengorganisir sebuah EDM berdasarkan subjek bisnis","mengkonfirmasi ruang lingkup subject areas beserta hubungannya","memastikan bahwa semua objek data yang disediakan oleh aplikasi dalam perusahaan terwakili secara lengkap dan akurat.","memberikan kesempatan untuk mempelajari pekerjaan yang sedang dilakukan."
"Salah satu kegiatan dalam analisis model data instansi adalah mengecek hasil identifikasi subject areas, dimana subject areas harus memenuhi kriteria berikut, kecuali …","harus mencerminkan atribut dari entitas yang dikandungnya","menjelaskan fungsi bisnis yang menggunakannya","mewakili grup entitas yang dikandungnya","Entitas bersifat eksklusif untuk satu subject area (tidak ada duplikasi)","subject area harus diberikan nama yang merepresentasikan pengelompokan data bisnis utama"
"Untuk sosialisasi pengenalan data, Bekti ingin menyusun konsep dan definisi tentang data.  Konsep raw data adalah","data yang belum diolah dari proses pengumpulan data","data yang sudah divalidasi dan imputasi","data yang sudah dikelompokkan","data yang sudah diolah","data yang sudah sesuai format tertentu"
"Budi ingin membuat bahan sosialisasi tentang pengelolaan data kepada instansi pemerintah, manakah bahan yang sesuai/cocok terhadap sasaran objek","Bahan paparan","Leaflet","Poster","Tidak ada yang cocok","Pamflet"
"Bonary ingin menyusun bahan paparan tentang bagaimana data itu dikelola sehingga data tersebut akurat, up to date, aman, dan tersedia bagi pemakai. Kegiatan pengelolaan yang bertujuan untuk meyakinkan konsistensi dan akurasinya berdasarkan aturan tertentu disebut.","validasi data","pemeliharaan data","penyimpanan data","keamanan data","pengumpulan data"
"Semakin berkembangnya teknologi, sumber data tidak terbatas pada sensus atau survey tetapi bisa big data. Olehkarena itu, Boniya ingin menyusun konsep big data 3 v untuk bahan paparan sosialisasi. Manakah yang termasuk konsep 3v tersebut?","volume, variety, velocity","volume, value, velocity","volume, variety, value","value, variety, velocity","value, variety, view"
"Andi ingin meyusun bahan sosialisasi tentang komponen-komponen data. Istilah untuk data tentang  data  atau informasi tentang informasi disebut","metadata","skema data","raw data","deskripsi data","detail data"
"Beni ingin melakukan sosialisasi tentang bagaimana data bisa menjadi informasi melalui analisis data. Jika beni hanya ingin melihat gambaran umum data, analisis apa yang cocok.","analisis deskriptif","analisis regresi","analisis klasifikasi","analisis sentiment","analisis asosiasi"
"Pada suatu workshop tentang bagaimana proses pengumpulan data, pengolahan, hingga desiminasi. Ada pertanyaan peserta jika suatu instansi ingin melakukan desiminasi dari hasil survey yang telah dilakakukan, tetapi ada data yang bersifat sensitif/pribadi. Bagaimana solusi agar data tersebut tetap dapat dikonsumsi pihak lain","Membuat web portal publikasi yang berisi data agregat dan data dengan anonimasi berdasarkan permintaan dan proses aproval","Menyerahkan data tersebut kepada instansi statistik dan mempercayakan bagaimana data tersebut dipublikasikan","Menyebarkan data tersebut melalui email hanya kepada instansi yang bisa dipercaya","Membuat web portal publikasi yang berisi sebagian data  dan adanya proses pengajuan permintaan dahulu untuk mendapatkan semua raw data ","Data tersebut disimpan hanya untuk konsumsi internal saja untuk menghindari penyalahgunaan data"
"Dalam pengelolaan data tidak terlepas pada kegiatan pengumpulan data untuk mendapatkan data yang aktual. Citra ingin memaparkan jenis jenis pengumpulan data. Jika ingin mendapatkan data-data yang sudah ada di beberapa instansi pemerintah, manakah pendekatan paling sesuai","Integrasi data administratif","Survei","sensus","scrapping data","crawling data"
"Sulastri ingin knowledge sharing tentang pengolahan data yang siap untuk dianalisis. Kegiatan pengolahan data yang bertujuan untuk mendapatkan data dari proses agregasi berdasarkan kategori-kategori disebut","Tabulasi","Integrasi","Derivasi","Imputasi","Manipulasi"
"Budi ingin berbagi ilmu bagaimana mengkomunikasi data secara visual untuk melihat trend data dari waktu ke waktu. Jenis chart apa yang paling sesuai","line chart","bar chart","radar chart","pie chart","donat chart"
"Business intelligence (BI) adalah kategori luas dari program aplikasi yang mencakup : 1) Decision support; 2) Data mining; 3) OLAP; 4) CMS","poin 1, 2,dan 3","hanya poin 1","poin 1 dan 2","poin 3 dan 4","poin 1, 2, 3, dan 4"
"Pernyataan yang benar tentang BI adalah","Intelijen bisnis melengkapi perusahaan untuk mendapatkan keuntungan bisnis dari data","OLAP adalah istilah umum yang mengacu pada bermacam-macam aplikasi perangkat lunak untuk menganalisis data mentah organisasi untuk pengambilan keputusan yang cerdas","BI membuat organisasi gesit sehingga memberikan keuntungan lebih rendah dalam kondisi pasar yang berkembang saat ini","cakupan BI hanya mengumpulkan dan menyediakan akses dari berbagai data","Tidak ada yang benar"
"BI dapat menjadi katalisator kesuksesan bisnis dalam hal 1. Membedakan produk dan layanan yang mendorong pendapatan 2. Mengetahui identitas pelanggan 3. Beri peringkat pelanggan dan lokasi berdasarkan profitabilitas ","Poin 1 dan 3","Hanya poin 1","Poin 2 dan 3","Poin 1, 2, dan 3","Tidak ada yang benar"
"Yang mana pernyatan dari area dipengaruhi oleh BI","CRM","Revenue","Expenditure","Sales","SCM"
"Pernyataan mana yang salah","BI adalah kategori perangkat lunak basis data yang menyediakan antarmuka untuk membantu pengguna secara cepat dan interaktif meneliti hasil dalam berbagai dimensi data","Data adalah informasi faktual untuk analisis","OLAP adalah kategori perangkat lunak basis data yang menyediakan antarmuka untuk membantu pengguna secara cepat dan interaktif meneliti hasil dalam berbagai dimensi data","Manajemen hubungan pelanggan (CRM) mencakup semua aspek interaksi yang dimiliki perusahaan dengan pelanggannya","BI juga mencakup data mining"
"... adalah alat manajemen kinerja yang merekapitulasi kinerja organisasi dari beberapa sudut pandang dalam satu halaman.","Balanced Scorecard","Data Cube","Dashboard","Monitoring","Intitutional perfomance management"
"... adalah kategori aplikasi dan teknologi untuk menyajikan dan menganalisis data perusahaan dan eksternal.","Enterprise Information System (EIS)","Data Warehouse","Management Information System (MIS)","Decision Support System (DSS)","CRM"
"Level aktivitas pemodelan data yang termasuk dalam aktivitas requirement planning and analysis pada sistem informasi adalah","Conceptual data modelling and logical data modelling","Conceptual data modelling and natural data modelling","Conceptual data modelling and additional data modelling","Theoretical data modelling and conceptual data modelling","Theoretical data modelling and logical data modelling"
"Atribut, atau set dari atribut-atribut yang secara unik mengidentifikasi suatu tuple dalam relasi adalah pengertian dari","Superkey","Privatekey","Publickey","Foreignkey","Interkey"
"Berikut merupakan skema untuk merepresentasikan data, kecuali","Aspect-Oriented","Object-Oriented","Relasional","Dimensional","Fact-Based"
"Suatu kegiatan yang bertujuan untuk mengonfirmasi dan mendokumentasikan sebuah gambaran/pemahaman dari perspektif yang berbeda, yang akan mengarahkan pada aplikasi yang lebih sesuai dengan business requirements saat ini dan yang akan datang, serta menyusun dasar bagi inisiasi lain yang lebih luas seperti master data management dan program data governance, adalah","Data modeling","Data integration and interoperability","Data handling ethics","Data operations","Data security"
"Definisi tentang entity berkontribusi penting pada business value dari model data. Karakteristik penting yang harus ada pada definisi tentang entity adalah","Clarity, Accuracy, Completeness","Clarity, Accuracy, Stateless","Clarity, Depedency, Stateless","Redundancy, Accuracy, Stateless","Redundancy, Dependency, Stateless"
"Asosiasi diantara entitas-entitas serta menangkap interaksi high-level diantara entitas-entitas konseptual, interaksi diantara entitas-entitas logikal, dan interaksi diantara entitas-entitas physical, merupakan pengertian dari","Relationship","Domain","Tuple","Key","Cardinality"
"Pada model relasional, candidate key yang tidak dipilih sebagai primary key adalah","Alternate key","Foreign key","Super key","Related key","Inter key"
"Anggaran apa saja yang akan dihitung pada kegiatan penyusunan rencana pembiayaan TI?","Investasi TI dan anggaran rutin operasional TI","Investasi TI","layanan TI","Operasional TI","Layanan TI dan operasional TI"
"Salah satu dokumen keluaran rencana pembiayaan TI minimal memuat informasi tentang penjelasan/keterangan mengenai latar belakang, apa, mengapa, siapa, kapan, di mana, bagaimana, dan berapa perkiraan biayanya suatu kegiatan TI adalah?","Kerangka Acuan Kerja (KAK)","Analisis kebutuhan","Analisis dampak","Rencana Transformasi","Strategi TI"
"Apa tujuan dari kegiatan penyusunan rencana pembiayaan TI?","Memastikan investasi TI yang dikeluarkan sejalan dengan rencana transformasi TI organisasi.","Membantu proses audit TI","Menjamin belanja TI lebih hemat","memastikan investasi TI sejalan dengan perkembangan teknologi saat ini","Menjamin belanja TI lebih efisien"
"Hal-hal yang dapat menyebabkan perubahan pada rencana pembiayaan TI adalah:","Revisi rencana TI organisasi dan optimalisasi anggaran oleh pemerintah","Perkembangan teknologi","Penambahan jumlah pegawai","Pergantian pimpinan","Hasil audit TI tahun sebelumnya"
"Bagaimana hubungan antara rencana TI dengan rencana pembiayaan TI?","Rencana TI berisikan rencana pembangunan dan pengembangan TI pada suatu organisasi beserta perkiraan awal kebutuhan biaya TI yang akan data dasar dalam menyusun rencana pembiayaan TI","Rencana TI suatu organisasi  berisikan rencana seluruh pembangunan dan pengembangan TI pada suatu organisasi beserta rincian detail biaya yang diperlukan (rencana pembiayaan TI)","Rencana TI suatu organisasi  berisikan sebagian rencana pembangunan dan pengembangan TI pada suatu organisasi beserta rincian detail biaya yang diperlukan (rencana pembiayaan TI)","Rencana TI suatu organisasi  berisikan sebagian besar rencana pembangunan dan pengembangan TI pada suatu organisasi beserta rincian detail biaya yang diperlukan (rencana pembiayaan TI)","Rencana TI merupakan rencana pembiayaan TI berdasarkan rincian kegiatan TI yag telah disusun"
"Dari pernyataan-pernyataan berikut mana yang paling tepat?","Rencana pembiayaan TI disusun berdasarkan strategi TI dan rencana TI, perubahan pada salah satunya akan berdampak pada rencana pembiayaan TI yang telah disusun","Kerangka Acuan Kerja (KAK) hasil dari penyusunan rencana pembiayaan TI adalah KAK yang akan digunakan dalam pengadaan barang/jasa terkait","Rencana pembiayaan TI disusun oleh Pejabat Pembuat Komitmen organisasi","nilai dari setiap kegiatan pada Rencana pembiayaan TI akan menjadi Harga Perkiraan Sendiri (HPS) dalam proses pengadaan barang/jasa terkait.","Rencana pembiayaan TI mencakup area layanan TI dan operasional TI"
"Apa perbedaan rencana pembiayaan TI pada organisasi yang menganut sentralisasi TI dengan desentralisasi TI","Pada sentralisasi TI seluruh rencana pembiayaan TI disusun oleh unit TI organisasi, sedangkan pada desentralisasi TI setiap unit kerja dapat memiliki rencana pembiayaan sendiri","pada sentralisasi TI rencana pembiayaan TI disusun oleh seluruh unit kerja, sedangkan pada desentralisasi rencana pembiayaan TI disusun oleh unit TI organisasi","Baik sentralisasi maupun desentralisasi TI, rencana pembiayaan TI disusun oleh unit TI organisasi","Baik sentralisasi maupun desentralisasi TI, rencana pembiayaan TI disusun oleh masing-masing unit kerja","Baik sentralisasi maupun desentralisasi TI, rencana pembiayaan TI disusun oleh unit TI organisasi dan unit kerja lainnya"
"Apa saja faktor eksternal yang dapat mempengaruhi penyusunan rencana pembiayaan TI suatu organisasi?","Tren teknologi dan kebijakan pemerintah terkait investasi TI","Tren teknologi dan startup","kebijakan pemerintah terkait investasi TI dan layanan TI","Tren teknologi dan keuangan negara","kebijakan pemerintah terkait investasi TI dan keuangan negara"
"Mengapa diperlukan Strategi operasional rencana TI?","Agar rencana TI yang telah disusun dapat berjalan sesuai yang diinginkan dengan penggunaan sumber daya yang efektif dan efisien.","Agar rencana TI yang telah disusun dapat berjalan sesuai yang diinginkan dan sesuai dengan perkembangan zaman","Agar rencana TI yang telah disusun dapat berjalan sesuai yang diinginkan dan sesuai dengan perkembangan teknologi","Agar rencana TI yang telah disusun dapat berjalan sesuai yang diinginkan dan sesuai dengan keuangan negara","Agar rencana TI yang telah disusun dapat berjalan sesuai yang diinginkan dan sesuai dengan keinginan pimpinan"
"Setiap unit kerja pada suatu organisasi memiliki fungsi dan karakterisktik masing-masing. Agar setiap unit kerja dapat menyusun strategi operasional rencana TI yang selaras dengan visi misi dan tujuan maka kita perlu melakukan kajian terhadap apa saja?","visi, misi, strategi TI, tujuan TI, roadmap, rencana TI dan best practice terkait","strategi, tujuan, roadmap, rencana TI dan tren teknologi ","visi,misi, strategi, tren teknologi dan tujuan TI","visi,misi, strategi, tujuan, rencana TI, tren teknologi dan tujuan TI","strategi, tujuan, roadmap, rencana TI dan tren teknologi "
"Dalam menyusun strategi operasional rencana TI kita perlu menyusun strategi alternatifnya, mengapa demikian?","Karena dengan strategi alternatif kita dapat menyusun langkah-langkah untuk mengantisipasi adanya perubahan ataupun kejadian yang tidak dinginkan agar rencana TI tetap dapat terlaksana.","Karena strategi operasional yang telah disusun belum sepenuhnya sesuai dengan rencana TI organisasi","strategi alternatif menjadi opsi jika rencana operasional TI organisasi tidak disetujui pimpinan tinggi","strategi alternatif berfungsi sebagai opsi saat strategi awal tidak dapat dilaksanakan sesuai perencanaan yang telah disusun","strategi alternatif memberikan kita pilihan dalam menerapkan rencana TI organisasi sesuai dengan tren teknologi terkini."
